"System Name","Distance","Distance Remaining","Fuel Left","Fuel Used","Refuel","Neutron Star"
"Shinrarta Dezhra","0","22000.9833104558","48","0","No","No"
"Hydrae Sector DB-X b1-3","64.1782531738281","21978.1458385592","40.4057312011719","7.59426784515381","No","No"
"Col 285 Sector QA-R b20-3","61.9919815063477","21938.9086118499","33.6506462097168","6.7550835609436","No","No"
"Lalande 25224","64.1092071533203","21960.3309442872","26.4564113616943","7.19423532485962","No","Yes"
"Col 285 Sector IH-D b28-1","268.362609863281","21707.691388536","48","7.88692855834961","Yes","No"
"Col 359 Sector TH-P b8-1","64.9979095458984","21648.2149162592","40.1509742736816","7.84902667999268","No","No"
"Col 359 Sector BP-L b10-1","66.152717590332","21587.4946374215","32.1602478027344","7.99072790145874","No","No"
"Col 359 Sector KH-U d3-55","66.3159027099609","21527.908161241","24.3467044830322","7.81354236602783","No","No"
"Col 359 Sector VJ-O c7-16","66.8784866333008","21465.7724177861","48","7.7616982460022","Yes","No"
"Col 359 Sector RZ-A b16-3","65.0170822143555","21406.2195656262","40.1449508666992","7.85504770278931","No","No"
"Joseph's Lighthouse","65.2068939208984","21357.3866132368","32.4480476379395","7.69690418243408","No","Yes"
"Col 359 Sector SZ-O d6-27","256.460479736328","21121.3223613252","25.2834243774414","7.16462326049805","No","Yes"
"IC 4665 Sector GW-W d1-14","226.629409790039","20911.4542099259","20.2231006622314","5.06032419204712","No","Yes"
"Pru Euq QT-I d9-59","245.593139648438","20677.9515932024","14.1026697158813","6.1204309463501","No","Yes"
"IC 4756 Sector XP-O c6-11","273.822418212891","20405.9137358397","48","7.93762254714966","Yes","No"
"IC 4756 Sector NN-T d3-2","58.6702079772949","20348.9933183035","41.9860038757324","6.01399707794189","No","Yes"
"Bleae Thua BV-Y d3","256.511047363281","20107.2389503639","34.567253112793","7.41874885559082","No","Yes"
"Bleae Thua NN-T d3-43","266.200317382812","19856.7693534781","26.6126289367676","7.95462417602539","No","Yes"
"Bleae Thua NY-R d4-37","195.016357421875","19741.0467281462","23.1717872619629","3.44084167480469","No","Yes"
"Bleae Thua SP-O d6-2","170.491561889648","19595.4102851948","20.7762775421143","2.39551067352295","No","Yes"
"Phylur RX-K d8-17","236.587326049805","19374.0410547972","15.2109460830688","5.56533193588257","No","Yes"
"Phylur VE-R b47-1","273.618591308594","19100.9713023542","48","7.95536231994629","Yes","No"
"Phylur BV-P e5-4","44.8055381774902","19122.8886752023","45.0164070129395","2.9835946559906","No","Yes"
"Phylur PD-A d14-14","252.530288696289","18874.3785252354","37.8160781860352","7.2003288269043","No","Yes"
"Byeia Thaa DU-A d25","194.379440307617","18742.6804921094","34.2625617980957","3.55351734161377","No","Yes"
"Byeia Thaa IG-X d1-9","248.509048461914","18538.3188995677","27.6176643371582","6.6448974609375","No","Yes"
"Byeia Thaa DQ-Y e0","258.089752197266","18319.890312113","20.4614009857178","7.15626430511475","No","Yes"
"Byeia Thaa VE-Q d5-0","229.537109375","18092.459278256","15.3230657577515","5.13833522796631","No","Yes"
"Byeia Thaa HJ-X c15-4","272.815765380859","17861.5880659666","48","7.89814138412476","Yes","No"
"Byeia Thaa YF-O d6-17","57.7758598327637","17910.2919260946","42.2214622497559","5.77853918075562","No","Yes"
"Byeia Thaa CX-K d8-2","211.956726074219","17752.9777507205","37.7001724243164","4.52129077911377","No","Yes"
"Smojoo WI-K d8-59","264.421783447266","17650.8828942433","29.7941284179688","7.90604496002197","No","Yes"
"Smojoo FG-F d11-24","267.404571533203","17400.336550097","21.8840560913086","7.91007328033447","No","Yes"
"Smojoo PD-A d14-6","226.141143798828","17222.6945196331","16.9148578643799","4.96919775009155","No","Yes"
"Bleae Eurk NV-Y d3","262.069549560547","17097.5746729548","48","7.15715217590332","Yes","Yes"
"Bleae Eurk WC-V d2-34","226.554748535156","16886.7607635957","42.5125350952148","5.48746347427368","No","Yes"
"Bleae Eurk CP-R d4-52","164.121475219727","16737.0647984753","40.1849784851074","2.32755732536316","No","Yes"
"Bleae Eurk MM-M d7-61","260.976013183594","16507.1719252785","32.4755744934082","7.70940256118774","No","Yes"
"Bleae Eurk PI-J d9-50","264.381774902344","16336.8081578719","24.7205104827881","7.75506448745728","No","Yes"
"Bleae Eurk AB-E d12-25","219.796173095703","16120.1408828524","20.0570602416992","4.66344976425171","No","Yes"
"Byua Eurk CU-A d40","265.244537353516","15870.2258373938","12.5851383209229","7.47192192077637","No","Yes"
"Byua Eurk JE-H b11-0","272.674285888672","15628.6784227958","48","7.80657720565796","Yes","No"
"Byua Eurk QC-V d2-163","62.0105438232422","15571.2492549997","41.0547523498535","6.9452486038208","No","Yes"
"Byua Eurk ZE-Q d5-58","261.831756591797","15404.346101045","33.2552223205566","7.79953050613403","No","Yes"
"Byua Eurk FR-M d7-63","216.643859863281","15212.4607266659","28.6212501525879","4.63397216796875","No","Yes"
"Byua Eurk KI-J d9-66","258.583404541016","14981.7776074569","21.4028511047363","7.21839809417725","No","Yes"
"Byua Eurk AH-C d13-16","251.925903320312","14752.9363600654","14.8348512649536","6.56799983978271","No","Yes"
"Lysoosms QN-Y b2-4","273.872619628906","14481.5692177942","48","7.96331453323364","Yes","No"
"Lysoosms UY-A d16","53.7673645019531","14529.5607603489","43.2067947387695","4.79320669174194","No","Yes"
"Lysoosms EG-X d1-32","200.756210327148","14336.2535916788","39.2669067382812","3.93988680839539","No","Yes"
"Lysoosms PD-S d4-2","250.23127746582","14174.177886006","32.3785057067871","6.88840246200562","No","Yes"
"Lysoosms CR-M d7-105","254.812164306641","13922.8905512382","25.3347721099854","7.0437331199646","No","Yes"
"Lysoosms MJ-H d10-8","262.696655273438","13667.4870794307","17.904239654541","7.43053293228149","No","Yes"
"Lysoosms TN-G b53-4","270.471832275391","13399.3127973931","48","7.79797792434692","Yes","No"
"Lysoosms WB-C d13-39","49.82080078125","13398.5045612753","44.0686187744141","3.93138194084167","No","Yes"
"Lysoof MN-A d14-26","244.986892700195","13199.2344621836","37.436580657959","6.63203716278076","No","Yes"
"Preae Aewsy LL-X d1-16","235.930557250977","12965.2846411174","31.5642108917236","5.87236928939819","No","Yes"
"Preae Aewsy XN-T d3-34","253.913345336914","12781.2498720584","24.6055355072021","6.95867538452148","No","Yes"
"Preae Aewsy OW-N d6-79","259.630798339844","12600.6310912762","17.4177207946777","7.18781518936157","No","Yes"
"Preae Aewsy WT-I d9-184","238.823471069336","12376.9532229466","48","5.63215827941895","Yes","Yes"
"Preae Aewsy CG-F d11-53","218.47673034668","12166.3550063536","43.0068473815918","4.99315357208252","No","Yes"
"Preae Aewsy JS-B d13-195","197.760604858398","11974.8598022358","39.2206916809082","3.78615665435791","No","Yes"
"Ellaidst FF-A d483","255.538131713867","11725.9696242947","31.947193145752","7.27349805831909","No","Yes"
"Ellaidst QX-U d2-303","254.5126953125","11473.8294189072","24.9359664916992","7.01122617721558","No","Yes"
"Ellaidst BQ-P d5-258","254.690780639648","11219.845527203","18.0900058746338","6.84596014022827","No","Yes"
"Ellaidst EW-N d6-203","80.2317657470703","11147.8634482987","48","0.331181973218918","Yes","Yes"
"Ellaidst CM-M d7-112","226.328674316406","11015.7824448411","42.5267639160156","5.47323799133301","No","Yes"
"Ellaidst MO-I d9-277","233.938110351562","10813.4525847545","36.6767768859863","5.84998798370361","No","Yes"
"Ellaisms HG-F d11-4","259.366760253906","10568.164778159","29.1853713989258","7.49140548706055","No","Yes"
"Ellaisms UT-Z d13-151","261.720733642578","10308.1905425124","21.7216644287109","7.46370649337769","No","Yes"
"Eodgorph OL-Y d300","157.899124145508","10159.8818689402","19.7699108123779","1.95175361633301","No","Yes"
"Eodgorph SC-V d2-96","268.939208984375","9909.54304912102","12.0326375961304","7.73727369308472","No","Yes"
"Eodgorph DV-P d5-3","203.723648071289","9708.87413421873","48","3.65078949928284","Yes","Yes"
"Eodgorph OC-M d7-378","184.577102661133","9565.7082764976","44.779052734375","3.2209484577179","No","Yes"
"Eodgorph UO-I d9-120","250.640090942383","9320.31186006913","37.7239570617676","7.05509614944458","No","Yes"
"Eodgorph CM-D d12-446","263.390014648438","9085.69932179222","29.8971996307373","7.82675790786743","No","Yes"
"Crookoa YO-A d825","268.134216308594","8837.82934311627","21.9278869628906","7.96931219100952","No","Yes"
"Crookoa HW-W d1-1398","216.579010009766","8624.81587654466","17.4859485626221","4.4419379234314","No","Yes"
"Crookoa EM-V d2-423","253.738967895508","8482.71010995721","48","6.59465456008911","Yes","Yes"
"Crookoa KX-U e2-62","237.139389038086","8257.21813613134","41.8208160400391","6.17918252944946","No","Yes"
"Blo Aescs TS-K d8-1108","256.047668457031","8005.57755360579","34.4412117004395","7.37960290908813","No","Yes"
"Blo Aescs GG-F d11-1006","239.538162231445","7766.4427301477","28.3981971740723","6.04301500320435","No","Yes"
"Blo Aescs MS-B d13-846","256.918975830078","7525.88675857734","21.3057746887207","7.09242296218872","No","Yes"
"Puekea OL-Y d1403","252.749969482422","7290.05745821942","14.6841535568237","6.62162113189697","No","Yes"
"Puekea CT-K c8-336","274.372497558594","7046.03178969875","48","7.99662733078003","Yes","No"
"Puekea DK-R d4-1972","50.7892189025879","7017.72916976676","43.866828918457","4.13317108154297","No","Yes"
"Puekea PC-M d7-1704","259.013000488281","6778.94305251045","36.207332611084","7.65949487686157","No","Yes"
"Puekea ZZ-G d10-1442","242.509384155273","6559.92592270127","29.9275417327881","6.27979135513306","No","Yes"
"Puekea JS-B d13-789","258.426025390625","6305.70935190198","22.6860618591309","7.24147939682007","No","Yes"
"Froarsts DK-A d2111","258.370330810547","6065.58450889692","15.6387929916382","7.04726839065552","No","Yes"
"Froarsts OC-V d2-874","264.308532714844","5807.35197646187","48","7.28229570388794","Yes","Yes"
"Froarsts YU-P d5-3971","254.932968139648","5563.97646258248","40.5418853759766","7.45811414718628","No","Yes"
"Froarsts JN-K d8-1949","253.877487182617","5313.80143783178","33.3567161560059","7.18516731262207","No","Yes"
"Froarsts TF-F d11-2342","264.298828125","5063.52855774292","25.5831489562988","7.77356815338135","No","Yes"
"Froarsts EY-Z d13-555","256.729370117188","4807.65096474652","48","7.006028175354","Yes","Yes"
"Iowhaik EW-W d1-919","256.397430419922","4566.00307073837","40.4299812316895","7.57001876831055","No","Yes"
"Iowhairld FP-R d4-1637","253.594329833984","4338.77251034027","33.2685012817383","7.16148042678833","No","Yes"
"Iowhairld NW-N d6-2856","264.258209228516","4088.28332003578","25.5005264282227","7.76797437667847","No","Yes"
"Iowhairld XO-I d9-4135","259.716583251953","3843.98511437939","18.2827644348145","7.21776151657104","No","Yes"
"Iowhairld HM-D d12-660","258.640655517578","3627.21286364657","48","6.95169019699097","Yes","Yes"
"Iowhairld PT-Z d13-952","253.612976074219","3392.03198644563","40.6418724060059","7.35812616348267","No","Yes"
"Oephaidst TX-U d2-5643","262.440246582031","3148.90119135082","32.8067016601562","7.83516979217529","No","Yes"
"Oephaidst YO-R d4-4745","234.929718017578","2956.88281116861","27.0952758789062","5.71142578125","No","Yes"
"Oephaidst GW-N d6-4107","224.710632324219","2742.78353671902","22.1125011444092","4.98277378082275","No","Yes"
"Oephaidst WU-G d10-7964","260.758728027344","2527.45938626494","14.9099197387695","7.20258140563965","No","Yes"
"Oephaidst IS-B d13-7754","270.59228515625","2411.94489565734","48","7.71987104415894","Yes","Yes"
"Dryuae Aoscs FF-A d7515","225.267074584961","2205.26589263666","42.59326171875","5.40674018859863","No","Yes"
"Dryio Flyuae TO-Z e7075","254.584594726562","1957.93972701137","35.3027381896973","7.29052448272705","No","Yes"
"Dryio Flyuae UK-V d3-10380","261.11279296875","1709.51755118586","27.717212677002","7.58552503585815","No","Yes"
"Dryio Flyuae EN-R d5-1243","258.116516113281","1457.46249181207","20.5564079284668","7.16080474853516","No","Yes"
